City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
Kodiak,57.79,-152.4072,56.71,72,100,4.61,US,overcast clouds
Bandarbeyla,9.4942,50.8122,76.59,82,56,27.47,SO,broken clouds
Araouane,18.9048,-3.5265,102.69,15,32,12.62,ML,scattered clouds
Chuy,-33.6971,-53.4616,54.72,73,0,6.15,UY,clear sky
Upernavik,72.7868,-56.1549,41.83,87,100,27.49,GL,light rain
New Norfolk,-42.7826,147.0587,42.3,86,100,1.52,AU,overcast clouds
Rikitea,-23.1203,-134.9692,72.82,62,29,17.96,PF,scattered clouds
Komsomolskiy,40.4272,71.7189,74.12,28,5,9.22,UZ,clear sky
Narrabri,-30.3167,149.7833,48.52,84,68,4.0,AU,broken clouds
Saint-Philippe,-21.3585,55.7679,69.39,80,54,14.5,RE,light rain
Rodrigues Alves,-7.738,-72.6509,94.1,29,62,5.46,BR,broken clouds
Sharkan,57.2989,53.8712,46.22,72,100,4.05,RU,overcast clouds
Vardo,70.3705,31.1107,44.58,100,75,18.41,NO,broken clouds
Puerto Ayora,-0.7393,-90.3518,80.56,89,96,8.01,EC,overcast clouds
Barrow,71.2906,-156.7887,39.22,70,100,5.75,US,overcast clouds
Yeppoon,-23.1333,150.7333,56.98,82,18,11.03,AU,few clouds
Tuktoyaktuk,69.4541,-133.0374,41.0,93,100,29.93,CA,overcast clouds
Coquimbo,-29.9533,-71.3436,55.13,87,40,9.22,CL,scattered clouds
Hobart,-42.8794,147.3294,42.66,91,75,8.05,AU,broken clouds
Georgetown,5.4112,100.3354,79.9,90,96,4.45,MY,overcast clouds
Ushuaia,-54.8,-68.3,33.46,93,75,25.32,AR,broken clouds
Xacmaz,41.4635,48.806,64.87,64,84,9.73,AZ,broken clouds
Victoria,22.2855,114.1577,87.33,64,89,1.99,HK,overcast clouds
Bambous Virieux,-20.3428,57.7575,70.05,78,75,12.66,MU,light rain
Albany,42.6001,-73.9662,65.73,94,100,1.3,US,moderate rain
Amuntai,-2.4177,115.2494,70.68,98,91,1.72,ID,overcast clouds
Saint George,37.1041,-113.5841,107.44,14,0,4.0,US,clear sky
Kapaa,22.0752,-159.319,83.48,66,40,11.5,US,scattered clouds
Cherskiy,68.75,161.3,40.17,82,100,8.1,RU,overcast clouds
Butaritari,3.0707,172.7902,81.45,79,91,16.24,KI,light rain
Port Alfred,-33.5906,26.891,57.18,70,0,7.0,ZA,clear sky
Mar Del Plata,-38.0023,-57.5575,71.62,56,0,10.36,AR,clear sky
Hithadhoo,-0.6,73.0833,81.43,74,100,18.14,MV,overcast clouds
Punta Arenas,-53.15,-70.9167,41.11,81,75,21.85,CL,light intensity shower rain
Castro,-24.7911,-50.0119,56.95,77,79,3.8,BR,moderate rain
Kaitangata,-46.2817,169.8464,35.89,82,74,10.0,NZ,broken clouds
Atuona,-9.8,-139.0333,76.33,75,50,22.66,PF,light rain
Nanortalik,60.1432,-45.2371,43.38,95,100,8.08,GL,overcast clouds
Hermanus,-34.4187,19.2345,52.81,80,66,12.03,ZA,broken clouds
Aljezur,37.3191,-8.8033,65.88,94,1,6.33,PT,clear sky
Chokurdakh,70.6333,147.9167,40.6,72,100,8.23,RU,overcast clouds
Henties Bay,-22.116,14.2845,54.32,89,0,8.79,NA,clear sky
Constitucion,-35.3333,-72.4167,61.07,65,22,9.55,CL,few clouds
Bluff,-46.6,168.3333,41.81,64,87,10.29,NZ,overcast clouds
Saldanha,-33.0117,17.9442,54.05,74,75,2.77,ZA,broken clouds
Yumen,40.2833,97.2,64.81,19,0,7.07,CN,clear sky
Solnechnyy,50.7214,136.6319,55.0,97,100,3.83,RU,light rain
Leningradskiy,69.3833,178.4167,32.79,99,100,6.11,RU,light snow
Mataura,-46.1927,168.8643,41.49,91,75,4.61,NZ,broken clouds
Busselton,-33.65,115.3333,49.41,89,100,5.77,AU,moderate rain
Letka,59.6011,49.4232,40.86,93,100,4.41,RU,overcast clouds
Medicine Hat,50.0501,-110.6683,84.63,28,20,16.11,CA,smoke
Gallup,35.5281,-108.7426,92.16,13,0,14.97,US,clear sky
Mehamn,71.0357,27.8492,46.31,93,75,18.41,NO,broken clouds
Carnarvon,-24.8667,113.6333,62.47,59,76,13.73,AU,broken clouds
Jamestown,42.097,-79.2353,69.53,72,100,1.01,US,heavy intensity rain
Buala,-8.145,159.5921,81.57,77,74,6.58,SB,broken clouds
Saint-Louis,16.3333,-15.0,91.78,46,100,7.23,SN,overcast clouds
Clyde River,70.4692,-68.5914,39.43,93,100,6.91,CA,overcast clouds
Ende,-8.8432,121.6623,75.47,89,66,1.48,ID,broken clouds
Carutapera,-1.195,-46.02,80.22,78,51,9.46,BR,broken clouds
Lompoc,34.6391,-120.4579,90.59,50,0,14.97,US,clear sky
Warmbad,-28.45,18.7333,53.69,35,0,4.38,NA,clear sky
Torbay,47.6666,-52.7314,66.76,86,75,6.91,CA,broken clouds
Myanaung,18.2833,95.3167,78.4,91,100,2.73,MM,overcast clouds
Promyshlennaya,54.9159,85.6385,52.75,43,99,6.6,RU,overcast clouds
Avarua,-21.2078,-159.775,77.05,83,100,17.27,CK,overcast clouds
San Cristobal,7.7669,-72.225,82.58,60,39,6.89,VE,scattered clouds
Ayagoz,47.9714,80.4392,65.66,36,0,7.27,KZ,clear sky
Lebu,-37.6167,-73.65,54.54,71,100,6.93,CL,overcast clouds
Vila Franca Do Campo,37.7167,-25.4333,72.01,81,79,3.98,PT,broken clouds
Avera,33.194,-82.5271,88.38,60,99,5.73,US,overcast clouds
Bethel,41.3712,-73.414,78.8,86,100,0.0,US,heavy intensity rain
Iralaya,15.0,-83.2333,83.82,72,92,6.6,HN,overcast clouds
Thompson,55.7435,-97.8558,82.56,44,20,6.91,CA,few clouds
Deshnok,27.7986,73.3447,84.99,56,0,13.8,IN,clear sky
Provideniya,64.3833,-173.3,48.36,93,100,11.18,RU,overcast clouds
Lavrentiya,65.5833,-171.0,43.38,97,100,7.09,RU,light rain
Bengkulu,-3.8004,102.2655,76.3,85,100,2.8,ID,overcast clouds
Sale,34.0389,-6.8166,69.75,88,75,0.0,MA,broken clouds
Ahipara,-35.1667,173.1667,53.76,67,38,16.06,NZ,scattered clouds
Vaini,-21.2,-175.2,78.96,94,75,9.22,TO,broken clouds
Srednekolymsk,67.45,153.6833,40.37,73,82,5.77,RU,broken clouds
Sistranda,63.7256,8.834,48.16,78,6,4.41,NO,clear sky
Ocnita,44.9833,25.55,61.77,83,52,5.17,RO,broken clouds
Laguna,38.421,-121.4238,113.05,14,0,11.5,US,clear sky
Dikson,73.5069,80.5464,35.42,80,100,23.98,RU,light rain
Raudeberg,61.9875,5.1352,54.86,43,53,10.2,NO,broken clouds
Oum Hadjer,13.2954,19.6966,79.14,74,98,2.82,TD,overcast clouds
College,64.8569,-147.8028,58.28,71,40,5.75,US,scattered clouds
Nhulunbuy,-12.2333,136.7667,68.61,94,49,0.0,AU,scattered clouds
Salinopolis,-0.6136,-47.3561,80.62,81,24,14.65,BR,few clouds
Marovoay,-16.1,46.6333,72.63,57,65,9.33,MG,broken clouds
Usinsk,65.9939,57.5281,42.66,92,100,12.59,RU,overcast clouds
Hamilton,39.1834,-84.5333,83.08,74,0,5.75,US,clear sky
Arraial Do Cabo,-22.9661,-42.0278,67.96,64,100,9.22,BR,overcast clouds
Biak,-0.9131,122.8766,74.53,86,99,3.69,ID,overcast clouds
Socorro,31.6546,-106.3033,91.26,24,20,11.5,US,few clouds
Lisakovsk,52.5369,62.4936,52.66,72,100,16.64,KZ,overcast clouds
Safita,34.8205,36.1153,73.13,82,7,4.92,SY,clear sky
Nha Trang,12.25,109.1833,80.6,87,100,6.31,VN,moderate rain
Gravdal,68.1214,13.5031,48.09,76,75,10.36,NO,broken clouds
Adrar,20.5022,-10.0711,97.03,22,46,12.68,MR,scattered clouds
Jeremie,18.65,-74.1167,85.08,73,51,3.36,HT,broken clouds
Bastia,42.6667,9.3333,75.29,83,0,4.61,FR,clear sky
Codrington,-38.2667,141.9667,40.66,94,100,8.12,AU,overcast clouds
Longyearbyen,78.2186,15.6401,39.04,87,75,5.75,SJ,light intensity drizzle rain
Hilo,19.7297,-155.09,84.27,81,100,4.61,US,overcast clouds
Hat Yai,7.0084,100.4767,77.18,100,75,0.0,TH,broken clouds
Severo-Kurilsk,50.6789,156.125,53.64,95,94,7.34,RU,overcast clouds
Smidovich,48.6,133.8167,57.2,95,100,6.96,RU,light rain
Ribeira Grande,38.5167,-28.7,74.35,79,100,6.11,PT,overcast clouds
Bredasdorp,-34.5322,20.0403,48.54,83,23,9.37,ZA,few clouds
Sioux Lookout,50.1001,-91.917,75.27,50,75,6.91,CA,broken clouds
Pozo Colorado,-23.4923,-58.7972,72.09,49,8,6.55,PY,clear sky
Farafangana,-22.8167,47.8333,67.35,88,1,8.1,MG,clear sky
Honiara,-9.4333,159.95,80.58,79,9,3.49,SB,clear sky
Dalby,-27.1833,151.2667,46.98,95,80,8.81,AU,broken clouds
Wajir,1.7471,40.0573,77.88,50,42,19.46,KE,scattered clouds
Udachnyy,66.4167,112.4,40.42,97,100,8.97,RU,light rain
Tiksi,71.6872,128.8694,40.77,68,100,17.38,RU,overcast clouds
Kahului,20.8947,-156.47,82.42,80,75,20.71,US,light rain
Ugoofaaru,5.6667,73.0,80.02,81,100,21.88,MV,light rain
Tasiilaq,65.6145,-37.6368,42.96,95,94,5.23,GL,overcast clouds
Kavieng,-2.5744,150.7967,80.85,72,78,8.72,PG,broken clouds
Beloha,-25.1667,45.05,68.36,70,0,5.55,MG,clear sky
Talara,-4.5772,-81.2719,72.36,68,0,10.36,PE,clear sky
Gat,31.61,34.7642,77.68,76,0,2.19,IL,clear sky
Lagoa,39.05,-27.9833,72.54,70,100,4.54,PT,overcast clouds
Ushtobe,45.2514,77.9838,71.38,22,0,7.36,KZ,clear sky
Severomuysk,56.1481,113.4267,34.23,90,100,3.6,RU,overcast clouds
Usakos,-22.0,15.6,65.79,17,0,3.71,NA,clear sky
Iqaluit,63.7506,-68.5145,38.93,87,75,10.36,CA,light intensity shower rain
Ust-Shonosha,61.1531,41.343,43.41,98,100,4.09,RU,light rain
Saskylakh,71.9167,114.0833,42.19,64,100,15.84,RU,overcast clouds
Souillac,-20.5167,57.5167,70.18,78,75,12.66,MU,broken clouds
Fairbanks,64.8378,-147.7164,58.3,71,0,5.75,US,clear sky
Mahibadhoo,3.7833,72.9667,79.95,84,100,19.42,MV,overcast clouds
Luderitz,-26.6481,15.1594,57.18,59,0,24.61,NA,clear sky
Akureyri,65.6835,-18.0878,48.13,87,20,0.0,IS,few clouds
Marzuq,14.4,46.4667,84.07,50,67,3.29,YE,broken clouds
Saint Anthony,45.0205,-93.218,77.72,54,75,11.5,US,broken clouds
Margate,51.3813,1.3862,67.3,90,94,1.99,GB,overcast clouds
Monte Alegre,-2.0078,-54.0692,91.67,40,100,6.13,BR,overcast clouds
Zemio,5.0314,25.1361,68.32,97,100,2.08,CF,light rain
Tarata,-17.6167,-66.0167,65.62,49,34,11.03,BO,scattered clouds
Lodja,-3.4833,23.4333,72.52,75,2,1.92,CD,clear sky
Husavik,66.0449,-17.3389,52.5,80,100,5.91,IS,overcast clouds
Nidda,50.4167,9.0,68.52,65,20,4.9,DE,few clouds
Ibiruba,-28.6275,-53.0897,60.53,81,100,4.63,BR,light rain
Chifeng,42.2683,118.9636,50.16,35,16,7.36,CN,few clouds
Ziyang,29.2497,117.8547,66.51,83,6,2.82,CN,clear sky
Riyadh,24.6877,46.7219,89.74,10,1,5.14,SA,clear sky
Manokwari,-0.8667,134.0833,78.03,77,63,1.03,ID,broken clouds
Plastun,44.7561,136.2939,62.94,99,100,6.93,RU,light rain
Nikolskoye,59.7035,30.7861,45.88,75,48,3.31,RU,scattered clouds
Vanavara,60.34,102.2797,36.18,98,18,6.51,RU,few clouds
Vladyslavivka,45.1667,35.3667,59.23,59,0,9.01,UA,clear sky
Talnakh,69.4865,88.3972,43.21,94,100,2.57,RU,light rain
Dunedin,-45.8742,170.5036,38.8,71,95,5.99,NZ,overcast clouds
Ormara,25.2088,64.6357,79.72,82,41,8.95,PK,scattered clouds
Teya,60.3778,92.6267,37.22,98,76,5.23,RU,broken clouds
Dejen,10.1667,38.1333,51.98,86,68,2.73,ET,broken clouds
Ostrovnoy,68.0531,39.5131,44.08,93,100,22.86,RU,light rain
Salinas,36.6777,-121.6555,114.01,46,0,13.8,US,clear sky
Pisco,-13.7,-76.2167,62.65,77,20,11.5,PE,few clouds
San Patricio,28.017,-97.5169,82.29,86,100,7.56,US,overcast clouds
Vestmannaeyjar,63.4427,-20.2734,53.83,78,100,2.33,IS,overcast clouds
Acapulco,16.8634,-99.8901,76.82,94,100,6.91,MX,overcast clouds
Sitka,57.0531,-135.33,55.29,82,75,5.75,US,moderate rain
Gogrial,8.5332,28.1004,72.55,91,86,3.47,SS,overcast clouds
Marawi,7.9986,124.2928,67.78,93,96,2.8,PH,overcast clouds
Vila Velha,-20.3297,-40.2925,69.75,76,75,9.22,BR,broken clouds
La Ronge,55.1001,-105.2842,77.25,36,75,12.66,CA,smoke
Hasaki,35.7333,140.8333,75.29,86,12,7.85,JP,few clouds
Pochutla,15.7432,-96.4661,85.82,70,100,4.47,MX,overcast clouds
Impfondo,1.6381,18.0667,74.82,82,98,0.78,CG,overcast clouds
Likasi,-10.9814,26.7333,68.5,29,0,3.47,CD,clear sky
East London,-33.0153,27.9116,59.88,54,0,19.33,ZA,clear sky
Kamenka,51.3223,42.7678,47.59,53,81,5.75,RU,broken clouds
Mogadishu,2.0371,45.3438,75.58,85,0,19.93,SO,clear sky
Qaanaaq,77.484,-69.3632,43.09,91,100,5.01,GL,light rain
Airai,-8.9266,125.4092,55.65,69,83,2.1,TL,broken clouds
Manado,1.487,124.8455,75.97,100,40,2.3,ID,scattered clouds
Maraba,-5.3686,-49.1178,95.18,36,20,4.61,BR,few clouds
Kedrovyy,56.1667,91.8167,41.41,76,100,4.21,RU,overcast clouds
Cape Town,-33.9258,18.4232,55.09,69,75,4.61,ZA,broken clouds
Chachapoyas,-6.2317,-77.869,62.82,66,73,5.64,PE,light rain
Barcelona,41.3888,2.159,80.78,86,20,2.3,ES,few clouds
Bixby,35.942,-95.8833,90.39,61,40,5.75,US,scattered clouds
Yar-Sale,66.8333,70.8333,40.73,90,100,8.84,RU,overcast clouds
Goure,13.9835,10.2704,81.91,58,99,13.22,NE,overcast clouds
Hay River,60.8156,-115.7999,66.16,48,75,17.27,CA,broken clouds
Kihei,20.785,-156.4656,82.42,76,75,20.71,US,light rain
Byron Bay,-28.65,153.6167,54.95,88,100,10.13,AU,overcast clouds
San Francisco,37.7749,-122.4194,113.02,38,20,12.66,US,few clouds
Santa Isabel Do Rio Negro,-0.4139,-65.0192,87.19,60,77,1.72,BR,light rain
Esperance,-33.8667,121.9,53.44,80,77,12.66,AU,broken clouds
Masallatah,32.6167,14.0,77.86,84,0,9.13,LY,clear sky
Aklavik,68.2191,-135.0107,40.77,74,100,22.64,CA,overcast clouds
Caconda,-13.7333,15.0667,68.68,36,99,3.8,AO,overcast clouds
Cockburn Town,21.4612,-71.1419,87.76,58,40,5.75,TC,scattered clouds
Beringovskiy,63.05,179.3167,41.97,68,100,10.69,RU,overcast clouds
Namibe,-15.1961,12.1522,64.04,89,73,2.57,AO,broken clouds
San Andres,12.5847,-81.7006,84.22,84,75,9.22,CO,broken clouds
Andenes,69.3143,16.1194,48.18,93,75,20.71,NO,broken clouds
Korla,41.7597,86.1469,72.52,19,0,1.48,CN,clear sky
Swan Hill,-35.3378,143.5544,42.89,91,100,5.99,AU,overcast clouds
Koslan,63.4564,48.8989,43.38,97,100,4.52,RU,overcast clouds
Lagunas,-5.2269,-75.6753,93.56,32,43,5.17,PE,scattered clouds
Saint-Augustin,51.226,-58.6502,59.43,62,96,10.92,CA,overcast clouds
Likhovskoy,48.1519,40.1792,52.56,54,56,5.7,RU,broken clouds
Liverpool,53.4106,-2.9779,66.74,83,40,8.05,GB,thunderstorm
Pevek,69.7008,170.3133,34.18,81,99,8.25,RU,overcast clouds
Guangshui,31.6199,113.9978,72.95,54,98,3.33,CN,overcast clouds
Sayyan,15.1718,44.3244,67.28,42,35,2.21,YE,scattered clouds
Naze,28.3667,129.4833,77.92,86,100,19.3,JP,light rain
Camana,-16.6228,-72.7111,64.96,73,16,7.16,PE,few clouds
Eatonton,33.3268,-83.3885,88.0,72,100,5.79,US,overcast clouds
Mount Gambier,-37.8333,140.7667,40.51,92,100,5.53,AU,overcast clouds
Kaitong,44.8135,123.15,49.93,60,48,10.13,CN,scattered clouds
Pangnirtung,66.1451,-65.7125,41.0,87,100,12.66,CA,light intensity drizzle
Alice Springs,-23.7,133.8833,57.22,26,2,3.44,AU,clear sky
Benghazi,32.1167,20.0667,80.46,76,1,17.87,LY,clear sky
Barabai,-2.5833,115.3833,71.08,96,96,1.21,ID,moderate rain
Chapais,49.7834,-74.8492,67.78,30,7,1.19,CA,clear sky
Palmer,42.1584,-72.3287,71.24,81,100,6.91,US,overcast clouds
Wembley,-31.9333,115.8,51.1,97,100,8.05,AU,moderate rain
Turkmenabat,39.0733,63.5786,73.38,23,0,4.61,TM,clear sky
Yaan,7.3833,8.5667,73.94,92,5,5.37,NG,clear sky
Tahoua,14.8888,5.2692,90.77,45,4,7.14,NE,clear sky
Cayenne,4.9333,-52.3333,82.44,78,64,9.22,GF,broken clouds
Igarka,67.4667,86.5833,42.1,96,100,8.79,RU,light rain
Eenhana,-17.4667,16.3333,68.9,19,0,6.85,NA,clear sky
Churapcha,62.0025,132.4325,45.88,67,100,9.53,RU,overcast clouds
That Phanom,16.9364,104.7104,74.25,95,8,3.58,TH,clear sky
Matara,5.9485,80.5353,75.85,93,100,12.82,LK,overcast clouds
Ust-Tarka,55.5672,75.705,48.58,89,100,13.58,RU,light rain
Grindavik,63.8424,-22.4338,51.75,93,0,9.22,IS,clear sky
Urengoy,65.9667,78.3667,40.75,95,100,13.98,RU,overcast clouds
Bastrop,32.7562,-91.8724,84.7,73,83,1.01,US,broken clouds
Seydi,39.4816,62.9137,81.3,15,0,7.83,TM,clear sky
Cururupu,-1.8283,-44.8683,78.35,81,29,5.23,BR,scattered clouds
Norman Wells,65.282,-126.8329,46.44,87,100,16.11,CA,light rain
Middle Island,40.8843,-72.9373,81.52,80,0,13.8,US,clear sky
Taltal,-25.4,-70.4833,64.31,58,16,4.23,CL,few clouds
Tarancon,40.0085,-3.0073,69.1,33,5,5.91,ES,clear sky
Kayes,14.0,-11.0,81.27,69,50,5.19,ML,scattered clouds
Romitan,39.9343,64.3814,71.55,53,0,2.3,UZ,clear sky
Channel-Port Aux Basques,47.5702,-59.1367,64.9,73,56,13.6,CA,broken clouds
Kalmunai,7.4167,81.8167,76.71,89,100,3.83,LK,overcast clouds
Gizo,-8.103,156.8419,81.41,76,52,6.82,SB,broken clouds
Dom Pedrito,-30.9828,-54.6731,60.35,79,16,5.08,BR,few clouds
Tayu,-6.5397,111.0518,77.74,85,94,4.34,ID,overcast clouds
Upata,8.0086,-62.3989,78.19,89,100,1.79,VE,overcast clouds
Lithakia,37.7167,20.8333,70.97,72,0,8.61,GR,clear sky
Illapel,-31.6308,-71.1653,75.78,32,4,4.97,CL,clear sky
Salalah,17.0151,54.0924,77.49,89,100,5.23,OM,overcast clouds
Labuhan,-6.8844,112.2051,76.3,86,88,6.82,ID,overcast clouds
Los Llanos De Aridane,28.6585,-17.9182,69.55,93,40,11.5,ES,scattered clouds
Veraval,20.9,70.3667,81.1,77,96,9.95,IN,overcast clouds
Jalu,29.0331,21.5482,82.18,56,0,14.9,LY,clear sky
Yulara,-25.2406,130.9889,62.44,34,96,9.95,AU,overcast clouds
Seoul,37.5683,126.9778,63.84,100,100,12.66,KR,moderate rain
Chilca,-12.5211,-76.7372,62.33,77,7,6.78,PE,clear sky
Trelew,-43.249,-65.3051,80.37,11,76,13.35,AR,broken clouds
Roald,62.5833,6.1333,57.76,94,0,6.91,NO,clear sky
Cedral,23.8,-100.7333,76.77,45,100,9.6,MX,overcast clouds
Hami,42.8,93.45,75.06,16,0,6.6,CN,clear sky
Charlottetown,46.2352,-63.1267,61.56,69,75,9.22,CA,broken clouds
Sawakin,19.1059,37.3321,94.75,50,0,7.27,SD,clear sky
Zlitan,32.4674,14.5687,81.1,81,0,9.44,LY,clear sky
Cidreira,-30.1811,-50.2056,60.19,82,73,14.67,BR,broken clouds
Utiel,39.5667,-1.2,73.13,26,46,5.03,ES,scattered clouds
Kasongo-Lunda,-6.4667,16.8167,79.27,61,67,0.49,CD,broken clouds
Rawson,-43.3002,-65.1023,77.05,15,75,14.99,AR,broken clouds
Ojuelos De Jalisco,21.8667,-101.5833,70.29,54,100,10.89,MX,overcast clouds
Severo-Yeniseyskiy,60.3725,93.0408,35.69,95,63,6.17,RU,broken clouds
State College,40.7934,-77.86,72.52,96,100,0.0,US,light rain
Poum,-20.2333,164.0167,71.2,69,100,18.07,NC,overcast clouds
Sao Joao Da Barra,-21.6403,-41.0511,69.89,67,92,9.53,BR,overcast clouds
Pierre,44.3683,-100.351,92.32,27,0,4.61,US,clear sky
Flin Flon,54.7682,-101.865,78.64,50,75,10.36,CA,broken clouds
Arinos,-15.9169,-46.1056,81.72,28,30,4.27,BR,scattered clouds
Port Elizabeth,-33.918,25.5701,59.29,64,0,20.71,ZA,clear sky
Tuatapere,-46.1333,167.6833,39.85,83,100,4.79,NZ,overcast clouds
Bani,18.2833,-70.3333,90.84,71,99,7.0,DO,overcast clouds
Balikpapan,-1.2675,116.8289,74.39,100,20,4.61,ID,light rain
Fort Nelson,58.8053,-122.7002,60.39,59,75,6.91,CA,broken clouds
Sao Filipe,14.8961,-24.4956,80.11,81,100,2.82,CV,moderate rain
Rodino,52.5,80.25,61.21,31,100,8.01,RU,overcast clouds
Shimoda,34.6667,138.95,76.1,80,27,4.07,JP,scattered clouds
Katsuura,35.1333,140.3,79.07,81,19,5.41,JP,few clouds
Araguacu,-12.9306,-49.8264,92.26,19,15,4.79,BR,few clouds
Yellowknife,62.456,-114.3525,59.52,67,75,10.36,CA,broken clouds
Pangkalanbuun,-2.6833,111.6167,71.2,99,98,2.21,ID,overcast clouds
Touros,-5.1989,-35.4608,76.57,82,30,15.43,BR,scattered clouds
Yokadouma,3.5167,15.05,68.72,98,72,0.29,CM,light rain
Bathsheba,13.2167,-59.5167,83.01,83,40,9.22,BB,scattered clouds
Mount Isa,-20.7333,139.5,46.17,87,0,4.61,AU,clear sky
Doha,25.2867,51.5333,94.89,57,0,5.75,QA,clear sky
Port Macquarie,-31.4333,152.9167,49.89,83,98,7.05,AU,overcast clouds
Denpasar,-8.65,115.2167,78.46,94,40,5.75,ID,scattered clouds
Krasnyy Chikoy,50.3643,108.7512,39.4,74,75,3.4,RU,broken clouds
Carballo,43.213,-8.691,67.69,86,51,10.07,ES,broken clouds
Ponta Do Sol,32.6667,-17.1,72.23,74,98,3.02,PT,overcast clouds
Jutai,-5.1833,-68.9,95.61,28,60,3.06,BR,broken clouds
Sungairaya,0.7,108.9,77.88,87,100,3.74,ID,overcast clouds
Antalaha,-14.9003,50.2788,68.85,89,99,7.65,MG,light rain
Bilma,18.6853,12.9164,95.72,17,1,2.51,NE,clear sky
Locri,38.2414,16.2623,73.31,75,0,6.38,IT,clear sky
Muisne,0.6,-80.0333,76.23,80,91,9.89,EC,overcast clouds
Juneau,58.3019,-134.4197,57.2,92,75,0.0,US,broken clouds
Ilulissat,69.2167,-51.1,41.02,93,100,4.61,GL,drizzle
Virginia Beach,36.8529,-75.978,86.0,65,75,11.5,US,broken clouds
Kruisfontein,-34.0033,24.7314,56.88,59,11,21.9,ZA,few clouds
Miri,4.4148,114.0089,71.74,100,40,2.3,MY,light rain
Qandala,11.472,49.8728,88.41,56,66,4.61,SO,broken clouds
Azovo,54.6997,73.0237,51.55,71,100,16.11,RU,overcast clouds
Lata,40.1629,-8.3327,67.82,95,2,2.84,PT,clear sky
Mareeba,-17.0,145.4333,65.12,87,11,1.88,AU,few clouds
Las Palmas,28.4204,-14.0131,72.39,83,20,17.27,ES,few clouds
Ginir,7.1333,40.7,63.86,67,58,3.76,ET,light rain
Saint-Pierre,-21.3393,55.4781,69.48,78,20,14.97,RE,few clouds
Wenling,28.3669,121.36,72.59,78,82,4.56,CN,broken clouds
Klaksvik,62.2266,-6.589,58.12,98,100,17.67,FO,light rain
Kaeo,-35.1,173.7833,52.86,75,33,9.82,NZ,scattered clouds
Lorengau,-2.0226,147.2712,81.32,68,100,7.23,PG,overcast clouds
Taldan,53.6667,124.8,53.82,96,100,10.02,RU,overcast clouds
Punta Alta,-38.8759,-62.0736,72.16,25,0,15.43,AR,clear sky
Mildura,-34.2,142.15,46.11,70,99,4.47,AU,overcast clouds
Santa Maria Del Oro,25.9333,-105.3667,70.07,70,100,8.23,MX,overcast clouds
Itarema,-2.9248,-39.9167,78.76,79,27,17.78,BR,scattered clouds
Isangel,-19.55,169.2667,72.5,89,100,12.08,VU,moderate rain
Hobyo,5.3505,48.5268,75.83,83,10,28.1,SO,clear sky
Nome,64.5011,-165.4064,49.15,93,100,6.91,US,light rain
Sandanski,41.5667,23.2833,66.0,72,38,3.09,BG,scattered clouds
Tarakan,3.3,117.6333,74.7,94,100,2.3,ID,light rain
Comodoro Rivadavia,-45.8667,-67.5,73.26,11,100,8.05,AR,dust
Korfovskiy,48.2183,135.0564,60.26,96,100,2.82,RU,light rain
Borovskoy,53.8,64.15,48.83,84,92,13.13,KZ,overcast clouds
Kyabe,9.4515,18.9449,70.77,96,81,3.0,TD,broken clouds
Kiri Buru,22.0833,85.35,74.7,86,100,1.63,IN,overcast clouds
Mocorito,25.4833,-107.9167,95.27,46,44,5.53,MX,scattered clouds
Ukiah,39.1502,-123.2078,112.44,14,0,5.75,US,clear sky
